*vpn_servers
#HostName,IP,Score,Ping,Speed,CountryLong,CountryShort,NumVpnSessions,Uptime,TotalUsers,TotalTraffic,LogType,Operator,Message,OpenVPN_ConfigData_Base64
vpn708159376,221.155.103.153,394171,34,19696968,Korea Republic of,KR,2,9511287,157,6375900144,2weeks,홍수연-PC's owner,,
vpn597550107,175.194.21.128,386110,30,17906709,Korea Republic of,KR,2,9511287,60,1984986930,2weeks,WIN7-PC's owner,,
vpn642502967,118.217.8.8,382392,33,18305197,Korea Republic of,KR,3,9511287,97,5416628224,2weeks,DESKTOP-HU3S8UO's owner,,
vpn865821315,168.131.129.127,379161,69,24206096,Korea Republic of,KR,1,0,4221,289237680980,2weeks,Sc-201511241542's owner,,
vpn683595722,121.130.110.131,378506,32,18533307,Korea Republic of,KR,1,1000,1091,131401506455,2weeks,WONHYUNJAE's owner,,
vpn360125146,189.79.171.32,365278,5,13024832,Brazil,BR,2,1000,55,1500608561,2weeks,DESKTOP-TB89T5J's owner,,
vpn686811944,119.149.252.192,364526,42,11664051,Korea Republic of,KR,5,91650287,1041,97020399912,2weeks,김해성's owner,,
vpn246033432,185.242.4.94,363072,1,502067820,United Kingdom,GB,69,3558322287,220402,6703908645323,2weeks,DESKTOP-MQIHPQS owner,,
baochotim,112.197.192.199,359605,255,19993006,Viet Nam,VN,21,59972287,32178,2707106331859,2weeks,BAOCHOTIM's owner,,
vpn577159553,125.131.190.78,359508,29,16200977,Korea Republic of,KR,1,1000,15156,1438205711535,2weeks,SHINCINE's owner,,
vpn302061887,172.245.55.202,358526,13,27210828,United States,US,120,1084920287,549005,4926964522436,2weeks,WIN-16MICU9K63A's owner,,
vpn346036862,45.32.253.161,358453,1,214097878,United States,US,45,1138870287,242226,2165421840593,2weeks,kitada's owner,,
vpn451081728,185.242.4.138,356993,1,510951580,United Kingdom,GB,19,3558322287,201550,7528614798802,2weeks,WIN-I0QI64PRA7I's owner,,
vpn732370407,222.101.210.13,354825,35,16137639,Korea Republic of,KR,2,9511287,12522,1291922726211,2weeks,DESKTOP-Q1Q7QPI's owner,,
vpn221742051,112.171.58.147,352401,35,16699844,Korea Republic of,KR,1,9511287,1637,117460274873,2weeks,DESKTOP-613E1MV's owner,,
vpn464750466,124.97.18.2,348312,14,68813304,Japan,JP,15,591852287,26219,1170546274713,2weeks,Owner-PC's owner,,
uswest-rugeles,149.28.211.193,346976,1,21875339,United States,US,83,1596306287,132488,822767036169,2weeks,Rugeles Servers,Buy me a cup of coffee :) Paypal ---> https://www.paypal.me/Rugeles Bitcoin ---> 1NkVw23METiE6CBjvbusSk9SeyJTGcwPsK,
chubaka,177.19.61.119,316068,46,2635522,Brazil,BR,66,91650287,155566,2449476664602,2weeks,FILESERVER.chubaka.local's owner,,
vpn308977558,74.208.111.92,306011,13,10053210,Germany,DE,105,7765937287,4458545,61432826684460,2weeks,s18317365's owner,,
londonnode-rugeles,54.37.18.197,303096,8,8442760,France,FR,76,2331978287,146705,2680403452196,2weeks,Rugeles Servers,Buy me a cup of coffee :) Paypal ---> https://www.paypal.me/Rugeles Bitcoin ---> 1NkVw23METiE6CBjvbusSk9SeyJTGcwPsK,
euronode-rugeles,159.69.152.227,303072,3,9451321,Germany,DE,71,1568122287,159022,3246939953102,2weeks,Rugeles Servers,Buy me a cup of coffee :) Paypal ---> https://www.paypal.me/Rugeles Bitcoin ---> 1NkVw23METiE6CBjvbusSk9SeyJTGcwPsK,
vpn554402763,124.120.45.254,299875,-,21378731,Thailand,TH,0,9511287,315,17577483690,2weeks,Admin-PC99's owner,,
atv-ddns,200.2.166.122,298004,66,17615115,Suriname,SR,77,5289884287,214407,9764025059530,2weeks,ATVEvoStreamSrv's owner,,
vpn270656742,113.131.30.208,293566,38,12050671,Korea Republic of,KR,3,9511287,1737,93787042884,2weeks,JY-PC's owner,,
vpn235719104,45.62.243.176,291796,20,5081627,Canada,CA,73,990702287,118124,1875214475658,2weeks,yuki0308,,
vpn309946564,58.140.7.147,289616,34,15196416,Korea Republic of,KR,20,7765937287,573608,19377145007444,2weeks,MyPC-PC's owner,,
vpn485242046,103.216.218.19,286880,35,11724734,Hong Kong,HK,36,1650273287,382204,4798809779208,2weeks,sfdsdf,,
vpn318900498,2.63.88.230,282105,-,18672581,Russian Federation,RU,0,18820287,10365,1182392654563,2weeks,Revan's owner,,
vpn295873378,118.87.184.97,281986,25,11572571,Japan,JP,8,1596306287,79585,2154665945661,2weeks,D01303.cgn.nidec-copal.co.jp's owner,,
vpn454239095,89.107.34.37,281699,28,10501183,Russian Federation,RU,1,1000,369,86002724455,2weeks,горе-ПК's owner,,
vpn107317296,124.123.64.65,275056,45,14997378,India,IN,1,1000,1870,142626333148,2weeks,RAJU's owner,,
vpn872895534,119.24.51.51,274269,18,3084992,Japan,JP,0,18820287,10701,678610501869,2weeks,BANDAI-HP's owner,,
vpn621691112,114.30.141.64,267712,48,11560953,Korea Republic of,KR,5,9511287,696,24177952217,2weeks,DESKTOP-0LUJVAP's owner,,
vpn639126720,125.24.146.213,235158,35,9605755,Thailand,TH,3,1000,35,2759921446,2weeks,DESKTOP-IACREMK's owner,,
vpn195082211,181.208.250.154,213486,62,8933606,Venezuela,VE,0,9511287,43,4913958826,2weeks,DESKTOP-EN83LF5's owner,,
vpn149023869,190.206.233.50,208349,69,1236297,Venezuela,VE,0,81418287,374,3233994115,2weeks,admin-PC's owner,,
vpn309533004,176.36.6.84,201631,59,7974277,Ukraine,UA,8,1000,18666,1764869265582,2weeks,Виктор-ПК's owner,,
vpn919426288,126.72.143.235,199487,13,75529938,Japan,JP,17,153048287,123733,15444258342429,2weeks,MyComputer's owner,,
vpn409104406,110.13.105.58,180797,33,63933726,Korea Republic of,KR,1,141340287,16807,624318811692,2weeks,Lim-PC's owner,,
vpn434272149,125.24.229.250,167108,27,39932264,Thailand,TH,10,71063287,10522,515240363427,2weeks,high's owner,,
evpn1,126.110.124.201,164269,19,50453392,Japan,JP,60,1000,60204,1511498341579,2weeks,on-premise,各種BBS書き込みできます,
vpn207188128,218.220.200.224,152413,19,30103142,Japan,JP,2,1000,766,27894283054,2weeks,manhtuanbk's owner,,
vpn398342376,114.177.13.146,151218,11,53680555,Japan,JP,14,9511287,10633,675983413788,2weeks,umebosi-PC's owner,,
vpn622355149,123.220.245.143,150746,7,96751708,Japan,JP,2,9511287,362,24988600251,2weeks,MyComputer's owner,,
vpn848764224,221.148.107.38,150717,36,20740865,Korea Republic of,KR,2,163773287,31952,2283617888848,2weeks,LAPTOP-1AG89492's owner,,
vpn494402351,61.24.153.204,144493,25,44839836,Japan,JP,2,1000,2783,74119473588,2weeks,ITO-PC's owner,,
vpn685057004,61.22.161.18,140999,24,33097230,Japan,JP,3,1000,6773,212098340896,2weeks,M-HP's owner,,
vpn419074312,121.140.156.131,140401,35,0,Korea Republic of,KR,0,1000,3,1098508,2weeks,DESKTOP-J7N3QNG's owner,,
vpn850613022,39.115.25.34,140106,32,147443792,Korea Republic of,KR,2,9511287,11344,2525707864730,2weeks,DESKTOP-HRDVP5D's owner,,
vpn569221780,186.94.24.99,138351,-,2537397,Venezuela,VE,0,59972287,35,1336287434,2weeks,jose-pc's owner,,
vpn618949593,115.162.114.4,138232,25,26798774,Japan,JP,14,27959287,14743,537113835294,2weeks,PVQ-PC's owner,,
vpn525947868,211.58.59.19,137069,32,78933005,Korea Republic of,KR,0,9511287,6488,1558719845194,2weeks,김정호-PC's owner,,
vpn553109942,211.228.130.96,134856,36,36633738,Korea Republic of,KR,3,18820287,6350,934755703695,2weeks,DESKTOP-397AK8U's owner,,
vpn733426633,124.217.249.24,134506,12,0,Malaysia,MY,73,173790287,7567,276975203343,2weeks,vps92267's owner,,
vpn626175432,59.10.212.87,132186,30,43381071,Korea Republic of,KR,4,0,2594,149182799960,2weeks,DESKTOP-PH18K6T's owner,,
vpn105821135,61.90.82.196,129825,28,27716311,Thailand,TH,10,9511287,2126,150467095967,2weeks,POW-PC's owner,,
vpn858252689,176.107.130.44,128465,1,13939952,Poland,PL,87,18820287,36209,1722228320285,2weeks,D's owner,,
vpn728494315,39.110.158.44,122397,25,20470386,Japan,JP,1,37389287,10832,1698672545874,2weeks,DESKTOP-L54VF37's owner,,
vpn934285080,134.196.97.75,121932,53,29406860,Thailand,TH,20,1000,5749,208417677544,2weeks,Hamid-PC's owner,,
vpn479368932,116.65.243.249,121799,-,63088119,Japan,JP,0,71063287,28580,936259752049,2weeks,Hp's owner,,
vpn618975371,124.53.42.136,118729,65,135156824,Korea Republic of,KR,1,9511287,23325,768403055111,2weeks,PC1PC's owner,,
vpn925802291,158.222.190.178,116143,18,14776349,United States,US,14,27959287,4683,242767767062,2weeks,Lenovo-PC's owner,,
vpn311868866,121.174.159.158,115485,38,26482072,Korea Republic of,KR,0,9511287,248,11888816466,2weeks,johnny-PC-64BIT's owner,,
vpn996739583,180.198.135.211,111013,9,13256300,Japan,JP,3,18820287,2264,118540652380,2weeks,yuiti-PC's owner,,
vpn244351349,42.148.134.198,106794,36,20973129,Japan,JP,33,9511287,5990,244155600108,2weeks,LAPTOP-4MVE0I03's owner,,
vpn976014509,124.49.62.168,98457,67,21324374,Korea Republic of,KR,6,18820287,2070,166300674175,2weeks,LAPTOP-Q0D841PO's owner,,
vpn545211843,153.204.61.35,97553,12,12585599,Japan,JP,4,1000,1678,61873048456,2weeks,DESKTOP-VC6BLM8's owner,,
vpn595677434,27.145.145.2,97268,62,22461930,Thailand,TH,2,9511287,5707,109454484804,2weeks,takenori-HP's owner,,
vpn801896062,180.93.28.138,96519,63,20722731,Viet Nam,VN,6,9511287,432,13835916367,2weeks,DESKTOP-OQ3JR7D's owner,,
vpn603373980,46.237.61.116,93236,17,6680358,Russian Federation,RU,12,37389287,30749,6453841344716,2weeks,DESKTOP-067OLQ1's owner,,
vpn565849126,63.145.59.172,91961,236,24098204,United States,US,12,18820287,9888,192206070174,2weeks,DESKTOP-SI9UQOK's owner,,
vpn883380012,123.214.239.134,87233,119,22307976,Korea Republic of,KR,3,1000,1604,37652481821,2weeks,DESKTOP-QN660RP's owner,,
vpn728081822,125.3.122.128,84998,11,7413425,Japan,JP,4,1000,5343,117748727555,2weeks,NSK3480's owner,,
smallfog,36.239.188.95,83900,25,5614156,Taiwan,TW,51,27959287,46043,937660387311,2weeks,SmallFog,Welcome To Taiwan SmallFog VPN Server !  Speed limit = 2Mbps = 250kb/s,
vpn795727938,153.125.65.241,73762,111,1432215,Japan,JP,6,141340287,15934,250376604742,2weeks,DESKTOP-SQ5SO99's owner,,
vpn989542478,118.137.94.81,73039,27,6015574,Indonesia,ID,5,9511287,3111,38170294734,2weeks,DESKTOP-358N4TK's owner,,
vpn505497479,186.88.79.110,61201,756,952166,Venezuela,VE,4,27959287,9010,262034658858,2weeks,KARIN-PC's owner,,
vpn449125361,190.136.218.152,58757,35,2405301,Argentina,AR,2,48345287,2424,105133485716,2weeks,000000-PC's owner,,
vpn990944566,71.59.216.40,51008,-,11807856,United States,US,0,9511287,683,34817585665,2weeks,DESKTOP-62DH74E's owner,,
vpn803755826,187.142.197.35,48861,58,4256358,Mexico,MX,1,27959287,2770,60412640955,2weeks,LAPTOP-1HHB6AFC's owner,,
vpn671585836,201.215.245.210,44030,-,8955613,Chile,CL,0,9511287,83,7803412382,2weeks,rorro-PC's owner,,
vpn673513362,189.218.21.176,37852,32,0,Mexico,MX,0,1000,0,1678601,2weeks,ABANDA's owner,,
vpn958997251,36.73.140.10,37825,46,2574222,Indonesia,ID,0,1000,7907,72404830134,2weeks,ASFER's owner,,
vpn112554376,78.179.174.72,29363,79,1684206,Turkey,TR,5,1000,36,619150785,2weeks,LAPTOP-QT6KB1C8's owner,,
vpn228367011,31.132.80.137,28430,-,4920636,Kazakhstan,KZ,0,1000,4,118128670,2weeks,Тамерлан-ПК's owner,,
vpn433084703,122.37.50.161,26689,79,587981,Korea Republic of,KR,2,1000,2009,80635543649,2weeks,USER-PC's owner,,
vpn886417235,172.115.134.106,25681,-,0,United States,US,0,1000,0,0,2weeks,EYCA's owner,,
vpn200170798,188.112.156.162,20652,-,0,Latvia,LV,0,27959287,0,0,2weeks,ArtekusPC's owner,,
vpn448118209,109.126.141.46,20299,70,198105,Belarus,BY,0,1000,821,14690921210,2weeks,microsof-67ae85's owner,,
vpn884681113,190.198.251.119,19193,-,1764285,Venezuela,VE,0,9511287,0,3311584,2weeks,Anne-PC's owner,,
vpn527849337,190.101.86.204,15097,-,0,Chile,CL,0,9511287,0,0,2weeks,BCSXXXXXXXX's owner,,
vpn893831151,77.81.131.122,14599,-,2815580,Iran (ISLAMIC Republic Of),IR,0,1000,11,244260410,2weeks,Ali-PC's owner,,
vpn694077434,151.235.80.34,13671,-,0,Iran (ISLAMIC Republic Of),IR,0,1000,0,0,2weeks,ShayanKeshetAfz's owner,,
vpn544196622,50.83.221.210,12093,-,0,United States,US,0,9511287,0,36731838,2weeks,DESKTOP-P5HOJKS's owner,,
vpn289596691,117.220.39.187,10298,-,0,India,IN,0,1000,0,0,2weeks,Zen-PC's owner,,
vpn288508443,84.234.54.95,10059,-,0,Moldova Republic of,MD,0,1000,0,0,2weeks,DESKTOP-M6ULFMT's owner,,
vpn140738637,59.187.223.171,9822,-,0,Korea Republic of,KR,0,1000,14,475329084,2weeks,DESKTOP-4T96FI8's owner,,
vpn955077603,177.246.30.54,8058,-,0,Mexico,MX,0,1000,0,0,2weeks,DESKTOP-M0Q9LL1's owner,,
vpn497124115,62.168.179.85,7764,-,0,Georgia,GE,0,1000,0,0,2weeks,DESKTOP-RDS12T7's owner,,
*
